,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
30,1625069670,424913.6667,386746.6667,25.00194667,0,0,0,271.7519732,1,0.001,0.001,0.001
60,1625071470,435069.6667,397280.6667,25.00207667,0,0,0,269.0741259,1,0.001,0.001,0.001
90,1625073270,441202.6667,404080.6667,25.00324333,0,0,0,269.7062556,1,0.001,0.001,0.001
120,1625075070,444473.6667,408219,25.00461,0,0,0,269.8942093,1,0.001,0.001,0.001
150,1625076870,450376,415248.6667,25.09486,0,0,0,272.0318158,1,0.001,0.001,0.001
180,1625078670,452837.3333,417562.3333,25.34586,0,0,0,277.471124,1,0.001,0.001,0.001
210,1625080470,454484.6667,419299,25.09006667,0,0,0,274.7901343,1,0.001,0.001,0.001
240,1625082270,463715.6667,429051.3333,25.47246,0,0,0,276.8151556,1,0.001,0.001,0.001
270,1625084070,479079.6667,444039.3333,25.53295667,0,0,0,280.9093074,1,0.001,0.001,0.001
300,1625085870,481509.6667,446701,25.43242,0,0,0,277.5371435,1,0.001,0.001,0.001
330,1625087670,477082,441146.3333,25.17474667,0,0,0,275.5233398,1,0.001,0.001,0.001
360,1625089470,469676,431568.3333,25.00234333,0,0,0,269.5313056,1,0.001,0.001,0.001
420,1625091270,466493.6667,421441,25.00146667,0,0,0,266.209663,1,0.001,0.001,0.001
1950,1625184870,413281,341609,0,25,0,0,235.0434926,0.001,1,0.001,0.001
1980,1625186670,405063,331684.3333,0,25,0,0,239.9791926,0.001,1,0.001,0.001
2010,1625188470,412818.3333,336459.3333,0,25,0,0,235.2875833,0.001,1,0.001,0.001
2040,1625190270,422801.3333,346237.6667,0,25,0,0,233.3293555,0.001,1,0.001,0.001
2070,1625192070,434433,358420,0,25,0,0,234.4756463,0.001,1,0.001,0.001
2100,1625193870,477084,400116.3333,0,25,0,0,120.3892222,0.001,1,0.001,0.001
2130,1625195670,531684.3333,454947.6667,0,25,0,0,117.7465417,0.001,1,0.001,0.001
2160,1625197470,585127,509433.3333,0,25,0,0,238.2283463,0.001,1,0.001,0.001
