,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos,ts,,Fcw_ypred,err
0,429991.6667,392013.6667,25.00201167,0,0,0,270.4130495,1,0.001,0.001,0.001,1625070570,,2.60E+02,10.4130495
1,442838.1667,406149.8333,25.00392667,0,0,0,269.8002324,1,0.001,0.001,0.001,1625074170,,2.60E+02,9.8002324
2,451606.6667,416405.5,25.22036,0,0,0,274.7514699,1,0.001,0.001,0.001,1625077770,,2.64E+02,10.7514699
3,459100.1667,424175.1667,25.28126333,0,0,0,275.8026449,1,0.001,0.001,0.001,1625081370,,2.65E+02,10.8026449
4,480294.6667,445370.1667,25.48268833,0,0,0,279.2232255,1,0.001,0.001,0.001,1625084970,,2.67E+02,12.2232255
5,473379,436357.3333,25.088545,0,0,0,272.5273227,1,0.001,0.001,0.001,1625088570,,2.61E+02,11.5273227
32,409172,336646.6667,0,25,0,0,237.5113426,0.001,1,0.001,0.001,1625185770,,2.39E+02,1.4886574
33,417809.8333,341348.5,0,25,0,0,234.3084694,0.001,1,0.001,0.001,1625189370,,2.36E+02,1.6915306
34,455758.5,379268.1667,0,25,0,0,177.4324343,0.001,1,0.001,0.001,1625192970,,2.36E+02,58.5675657
35,558405.6667,482190.5,0,25,0,0,177.987444,0.001,1,0.001,0.001,1625196570,,2.36E+02,58.012556
36,521730.3333,447222.3333,0,25,0,0,238.3341736,0.001,1,0.001,0.001,1625200170,,2.37E+02,1.3341736
37,364207.3333,307827.6667,0,23.36165889,0,0,250.1624352,0.001,1,0.001,0.001,1625203770,,2.28E+02,22.1624352
38,319170.3333,255990,0,25.00049,0,0,244.9433222,0.001,1,0.001,0.001,1625207370,,2.45E+02,0.0566778
39,379196.1667,310880.1667,0,25.00026667,0,0,243.1448968,0.001,1,0.001,0.001,1625210970,,2.41E+02,2.1448968
104,372453.5,296889.6667,23.36111111,0,0,0,202.3936532,1,0.001,0.001,0.001,1625444970,,2.13E+02,10.6063468
105,332494.1667,251418.3333,25,0,0,0,235.711312,1,0.001,0.001,0.001,1625448570,,2.32E+02,3.711312
106,332016.3333,250231,25,0,0,0,235.9145019,1,0.001,0.001,0.001,1625452170,,2.32E+02,3.9145019
107,334461.6667,251389.3333,25,0,0,0,232.6795653,1,0.001,0.001,0.001,1625455770,,2.31E+02,1.6795653
108,336834.6667,253631.5,25,0,0,0,233.1879361,1,0.001,0.001,0.001,1625459370,,2.31E+02,2.1879361
109,444618.1667,361386.5,25,0,0,0,235.4054468,1,0.001,0.001,0.001,1625462970,,2.31E+02,4.4054468
110,636458.6667,590929.3333,26.18173,0,0,6.981794667,339.6821218,1,0.001,0.001,1,1625466570,,2.70E+02,69.6821218
111,387384.3333,324060,25.001915,0,0,25.001915,509.8572407,1,0.001,0.001,1,1625470170,,4.90E+02,19.8572407
114,355106.6667,280425.6667,0,0,0,25,233.1902162,0.001,0.001,0.001,1,1625480970,,2.37E+02,3.8097838
115,322135.8333,248003.3333,0,0,0,25,245.0651778,0.001,0.001,0.001,1,1625484570,,2.37E+02,8.0651778
116,327459.6667,253761.5,0,0,0,25,246.9609472,0.001,0.001,0.001,1,1625488170,,2.38E+02,8.9609472
118,514496.5,424768.5,0,0,0,25,234.0485398,0.001,0.001,0.001,1,1625495370,,2.26E+02,8.0485398
119,458232.5,369241.5,0,0,0,25,233.6192083,0.001,0.001,0.001,1,1625498970,,2.26E+02,7.6192083
128,329340.5,297858.6667,0,27.64644833,0,0,296.6640005,0.001,1,0.001,0.001,1625531370,,2.94E+02,2.6640005
129,321166.1667,251505.5,0,25.19362,0,23.51404533,468.0535833,0.001,1,0.001,1,1625534970,,4.63E+02,5.0535833
130,340277.3333,252691.1667,0,25.00000167,0,25.00000167,460.7250972,0.001,1,0.001,1,1625538570,,4.55E+02,5.7250972
131,380758.1667,328501.1667,0,8.467976667,0,25.40393,354.5518139,0.001,1,0.001,1,1625542170,,2.57E+02,97.5518139
132,476837.6667,446861.1667,0,0,0,26.06150833,291.7643241,0.001,0.001,0.001,1,1625545770,,2.76E+02,15.7643241
133,540986.8333,501664,0,0,5.773102472,26.64952167,340.1446157,0.001,0.001,1,1,1625549370,,2.79E+02,61.1446157
134,663874.3333,587472,0,7.919517194,25,25.00900167,552.1180741,0.001,1,1,1,1625552970,,4.72E+02,80.1180741
135,509476.8333,410040.3333,0,26.53474333,25,26.53474333,686.8656528,0.001,1,1,1,1625556570,,6.99E+02,12.1343472
136,562167.5,459000,12.31440189,32.12467333,25,32.12467333,949.0871389,1,1,1,1,1625560170,,8.45E+02,104.0871389
137,355989.6667,264294.1667,29.167635,29.167635,2.916666667,29.167635,896.0389028,1,1,1,1,1625563770,,8.47E+02,49.0389028
138,351403.5,263426.6667,27.96254167,27.96262667,0,27.96259333,816.871838,1,1,0.001,1,1625567370,,8.06E+02,10.871838
139,330035,243577.5,27.2282,27.2282,0,27.2282,783.852875,1,1,0.001,1,1625570970,,7.79E+02,4.852875
140,323581.8333,238426.6667,27.03877833,27.03880333,0,27.03880333,786.5280417,1,1,0.001,1,1625574570,,7.73E+02,13.5280417
141,342375.5,258290,26.59841,26.59841,0,26.59841,769.9941806,1,1,0.001,1,1625578170,,7.57E+02,12.9941806
142,323712.1667,240669.1667,26.41798333,26.41798333,0,26.41798333,758.3355324,1,1,0.001,1,1625581770,,7.52E+02,6.3355324
