NB2_S_x_NYZ_x_x_Fcw_x,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x
833.20468,440066.6667,357956.6667,27.73070667,0,27.73070667,27.73070667
1005.48112,460800,345861.6667,28.03951333,27.85581667,27.89199333,27.89161333
1016.819533,452566.6667,329023.6667,28.65111667,28.65076333,28.65041333,28.64920667
812.29428,433700,342129.6667,27.81764667,27.81764667,0,27.81764667
822.3878133,447200,338542.3333,29,0,29,29
334.6068133,466500,426504.6667,30.34578,0,0,0
839.566,522833.3333,439929.6667,28.61499667,28.61501,28.61488,0
635.7214267,454133.3333,399653,29.2,0,0,29.2
896.0906267,459366.6667,359434.6667,30.31403333,30.31418333,0,30.31388333
822.2341867,455533.3333,370312.6667,27.93961667,27.51332333,0,27.51332333
387.107,432366.6667,375927.6667,34.99416333,0,0,0
630.2226933,412100,352314.6667,29.13197667,0,0,29.13197667
276.6764933,376000,327777.3333,0,0,26.0011,0
829.9367067,443100,343171.3333,28.72877667,0,28.72877667,28.72877667
970.3003333,441566.6667,321556.6667,27.65722333,27.65722333,27.65722333,27.65722333
278.9346,400466.6667,373177,0,0,25,0
1026.133173,465633.3333,347453.3333,28.8,28.8,28.8,28.8
289.9838667,396633.3333,331770.6667,0,0,27.45668,0
890.76596,428800,327635,0,30.6,30.6,30.6
1022.294747,460600,343288,27.88337,27.89695,27.87468,28.26112667
1026.133173,465633.3333,347453.3333,28.8,28.8,28.8,28.8
363.3112933,487033.3333,461603.6667,32.17496333,0,0,0
570.1347867,469133.3333,397628,27.57525667,0,0,27.41831
888.75248,425700,331365.6667,0,30.3,30.3,30.3
132.10316,536633.3333,462645.6667,0,0,26,0
793.65412,416466.6667,326302.3333,0,27.62255,27.62255,27.62255
839.8545867,428933.3333,328762,28.97133333,0,28.97133333,28.97133333
683.37276,382966.6667,322539,31.64072,0,0,31.64293
999.4029733,479800,319935.6667,30.41093333,30.41184,30.41479,30.4171
775.6538533,442366.6667,354889,27.02705,27.02705,0,27.02705
673.9564533,414100,312962,25.62212333,25.62206667,0,25.62264
774.06448,422300,317534.6667,27.72348667,0,27.72348667,27.72348667
888.3083067,428533.3333,328531,30.49245,30.49262,30.49160333,0
961.79104,459800,351272.3333,27.00482667,27.00677,27.00655667,27.00731
903.7762533,452733.3333,330498.6667,26.70033,26.70033,26.70033,26.70033
750.88636,464266.6667,350114.6667,28.00001,28.00001,28.00001,0
898.4199467,435366.6667,326070.6667,30.78102333,30.78102333,0,30.78102333
932.2866,433666.6667,324305.3333,0,31.63198667,31.63198667,31.63198667
242.11404,459300,377604.6667,0,0,25,0
823.5601733,451666.6667,369299.3333,27.61426333,0,27.61426333,27.61426333
570.6204933,447500,378125,27.37291333,0,0,27.37291333
730.2213333,459233.3333,351011.3333,27.05854667,0,27.04498,27.04525667
570.5986533,448433.3333,378124.6667,27.35493333,0,0,27.35419333
280.39956,460633.3333,433014.3333,0,0,25,0
871.8207867,476500,356829,0,30.87691,30.87691,30.87691
880.9626,413666.6667,323813.6667,29.70631667,29.70631667,0,29.70631667
562.9214267,449733.3333,388772.6667,27.23421667,27.23421667,0,0
610.2992,503000,443580,28.8672,28.8672,0,0
1032.81304,440066.6667,320052.3333,28.82639,28.82639,28.82639,28.82639
