,Unnamed: 0,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
2230,84570,1598606070,440066.6667,357956.6667,27.73070667,0.0,27.73070667,27.73070667,833.20468,1.0,0.001,1.0,1.0
1255,45870,1596284070,460800.0,345861.6667,28.03951333,27.85581667,27.89199333,27.89161333,1005.48112,1.0,1.0,1.0,1.0
2331,88620,1598849070,452566.6667,329023.6667,28.65111667,28.65076333,28.65041333,28.64920667,1016.819533,1.0,1.0,1.0,1.0
1772,65370,1597454070,433700.0,342129.6667,27.81764667,27.81764667,0.0,27.81764667,812.29428,1.0,1.0,0.001,1.0
220,9570,1594106070,447200.0,338542.3333,29.0,0.0,29.0,29.0,822.3878133,1.0,0.001,1.0,1.0
2317,87750,1598796870,466500.0,426504.6667,30.34578,0.0,0.0,0.0,334.6068133,1.0,0.001,0.001,0.001
2349,89190,1598883270,522833.3333,439929.6667,28.61499667,28.61501,28.61488,0.0,839.566,1.0,1.0,1.0,0.001
530,19410,1594696470,454133.3333,399653.0,29.2,0.0,0.0,29.2,635.7214267,1.0,0.001,0.001,1.0
2055,78480,1598240670,459366.6667,359434.6667,30.31403333,30.31418333,0.0,30.31388333,896.0906267,1.0,1.0,0.001,1.0
2072,78990,1598271270,455533.3333,370312.6667,27.93961667,27.51332333,0.0,27.51332333,822.2341867,1.0,1.0,0.001,1.0
595,21450,1594818870,432366.6667,375927.6667,34.99416333,0.0,0.0,0.0,387.107,1.0,0.001,0.001,0.001
1412,51900,1596645870,412100.0,352314.6667,29.13197667,0.0,0.0,29.13197667,630.2226933,1.0,0.001,0.001,1.0
467,17340,1594572270,376000.0,327777.3333,0.0,0.0,26.0011,0.0,276.6764933,0.001,0.001,1.0,0.001
640,24210,1594984470,443100.0,343171.3333,28.72877667,0.0,28.72877667,28.72877667,829.9367067,1.0,0.001,1.0,1.0
