NB2_S_x_NYZ_x_x_Fcw_x,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x
892.32416,454933.3333,360707.0,0.0,30.46156667,30.46113,30.46133333
855.98632,455866.6667,365916.3333,28.76072333,28.76152,0.0,28.75968667
270.50856,389000.0,314554.3333,0.0,0.0,27.0,0.0
595.30464,497166.6667,445746.6667,27.5,0.0,27.5,0.0
820.4715867,448800.0,328761.6667,0.0,29.80338667,29.80286,29.80338667
982.8757867,514900.0,407002.3333,27.22666667,27.22666667,27.22666667,27.22666667
877.13192,420400.0,329889.6667,0.0,29.5,29.5,29.84630333
749.14532,474000.0,368056.0,0.0,27.30793333,27.30793333,27.30793333
283.89984,489733.3333,406568.3333,0.0,0.0,0.0,28.00014667
974.9431067,455200.0,339409.6667,27.40091333,27.40091333,27.40091333,27.40091333
651.31808,413500.0,353066.6667,30.30739667,0.0,0.0,30.30739667
977.6508933,473633.3333,353442.6667,27.68732,27.68732,27.68732,27.68732
895.37868,465966.6667,375810.0,29.74375,29.74375,0.0,29.74375
1057.399747,439933.3333,309549.3333,29.72925667,29.72973667,29.72925667,29.73013333
804.16,444033.3333,344386.6667,0.0,28.37088333,28.37088333,28.37088333
782.2321733,451633.3333,353066.6667,27.44257,27.44257,0.0,28.04257
949.4599333,483700.0,323494.3333,29.59252333,29.58854333,29.58820667,29.58806
851.4210133,448100.0,357783.6667,28.88855333,28.88855333,0.0,28.88855333
662.07344,524833.3333,457697.6667,0.0,31.4,0.0,31.4
791.4553733,440233.3333,320051.3333,28.98790333,0.0,28.98790333,28.98790333
782.61988,422300.0,331799.6667,27.2,0.0,27.2,27.2
930.55088,428166.6667,327720.0,30.95369333,0.0,30.95369333,30.95369333
608.1739067,431600.0,371702.6667,29.04198,29.04198,0.0,0.0
1029.80752,446200.0,325897.0,29.51673333,26.4,29.51729333,29.51903
740.81532,446066.6667,356393.6667,26.35414667,26.35414667,0.0,26.35414667
307.9380267,356400.0,330121.0,27.52,0.0,0.0,0.0
888.75248,425700.0,331365.6667,0.0,30.3,30.3,30.3
964.4869733,434666.6667,310213.6667,28.00197333,28.00225333,28.00272333,28.00288667
593.7658533,391333.3333,339468.3333,27.5,0.0,27.5,0.0
563.9928,422566.6667,362009.6667,26.81810667,0.0,26.81810667,0.0
898.0584667,461666.6667,371268.6667,29.73253333,0.0,29.73253333,29.73253333
798.3394533,450733.3333,372338.3333,27.1963,27.1963,27.1963,0.0
995.9053067,465533.3333,333566.0,28.73851333,28.73946333,28.73960333,28.73955
805.2254933,450066.6667,354687.3333,28.0136,0.0,28.0,28.0
789.3325067,477900.0,385185.3333,27.42594333,0.0,27.3975,27.40531667
840.8286133,449266.6667,339698.6667,29.5,0.0,29.5,29.5
342.4036933,503466.6667,443808.3333,31.91147333,0.0,0.0,0.0
1032.81976,450166.6667,329803.6667,28.82048333,28.82048333,28.82048333,28.82048333
610.5443867,537433.3333,477286.3333,28.95905333,28.95905333,0.0,0.0
305.5773467,463366.6667,403385.6667,28.73022333,0.0,0.0,0.0
949.8576267,435766.6667,335734.6667,32.01745333,32.01745333,0.0,32.01745333
629.58644,392033.3333,331251.3333,29.31446667,0.0,29.31446667,0.0
908.5237467,418266.6667,317969.3333,30.50692333,0.0,30.50692333,30.50692333
885.3856667,465800.0,367593.6667,30.06031333,30.06031333,0.0,30.06031333
686.7916533,447433.3333,387326.3333,0.0,32.11778333,32.11933,0.0
633.4982267,516100.0,463397.3333,28.9,0.0,0.0,29.0
747.7613733,435133.3333,341493.3333,27.04333333,27.04333333,27.04333333,0.0
811.8803467,412466.6667,326418.3333,0.0,27.93665667,27.93665667,27.93665667
544.6393867,444066.6667,383013.0,0.0,0.0,26.00519,26.00534667
898.4199467,435366.6667,326070.6667,30.78102333,30.78102333,0.0,30.78102333
651.1429867,442500.0,382781.6667,0.0,30.28748333,0.0,30.28748333
896.4298,448000.0,352718.6667,0.0,30.6,30.6,30.6
549.2980267,439900.0,377779.0,0.0,0.0,26.00404333,26.00404333
1068.445093,476533.3333,316464.3333,31.36385,31.36661333,31.36681333,31.36747333
859.24552,431600.0,321440.3333,29.85395667,0.0,29.85395667,29.85395667
875.4689067,433833.3333,334000.3333,30.14823667,30.14823667,30.14823667,0.0
307.3766267,449666.6667,419444.3333,27.54869667,0.0,0.0,0.0
865.3567067,445000.0,341985.3333,29.7,0.0,29.7,29.7
595.30464,497166.6667,445746.6667,27.5,0.0,27.5,0.0
273.5866,461466.6667,360852.3333,0.0,0.0,0.0,28.0
567.0320133,446966.6667,377894.0,27.18042667,0.0,0.0,27.18042667
272.53604,592533.3333,562066.0,0.0,0.0,25.0,0.0
807.7954267,448166.6667,352546.0,28.0,0.0,28.0,28.0
1056.927013,459700.0,329660.3333,29.70059333,29.70059333,29.70059333,29.70059333
631.0696933,439400.0,382263.0,29.2,0.0,0.0,29.2
670.94608,438266.6667,377864.0,31.52705667,0.0,0.0,31.52685333
901.38048,458233.3333,368519.3333,29.79025667,0.0,29.79087,29.79025667
729.1609733,410933.3333,341088.6667,33.9051,0.0,0.0,33.9051
848.8366133,442233.3333,345630.6667,0.0,29.23305,29.23305,29.23305
560.6707867,489166.6667,429137.3333,0.0,0.0,26.46945667,26.46945667
805.9638533,428233.3333,326157.6667,28.26673,28.26673,0.0,28.26673
255.9798267,386233.3333,325232.3333,0.0,0.0,25.0,0.0
674.9568933,379666.6667,319762.0,31.48261,0.0,0.0,31.48364667
1024.092907,438233.3333,307928.0,29.12437667,29.12437667,29.12437667,29.12437667
236.0112533,461966.6667,380323.6667,0.0,0.0,25.0,0.0
305.9692533,384733.3333,331510.3333,0.0,0.0,0.0,28.00413333
698.29284,462900.0,392825.0,32.75255333,0.0,0.0,32.75255333
576.7057333,447266.6667,387122.3333,27.61293667,27.61293667,0.0,0.0
286.5292267,395000.0,330063.3333,0.0,0.0,27.69883,0.0
703.7070133,424666.6667,324739.6667,26.40955667,26.40955667,0.0,26.40962
884.8584267,432600.0,325405.0,30.44975667,30.44975667,0.0,30.44975667
803.5902933,431600.0,353500.3333,27.00376667,0.0,27.00376667,27.00376667
899.24744,415666.6667,321267.3333,0.0,30.3,30.3,30.3
1007.60968,454600.0,326563.6667,28.65121333,28.65121333,28.65121333,28.65121333
303.3056133,365333.3333,319328.6667,0.0,0.0,27.93477,0.0
969.2517333,478800.0,318864.6667,29.94864333,29.94780333,29.94551333,29.94355333
850.94128,445300.0,325636.3333,30.18371667,0.0,30.18371667,30.18386
764.43556,448966.6667,358218.3333,26.81604,0.0,26.81604,26.81604
928.96076,510566.6667,410474.6667,31.08744333,31.08744333,0.0,31.08744333
286.9981333,456466.6667,373668.6667,0.0,0.0,0.0,28.0
891.8855867,429400.0,328185.3333,0.0,30.6,30.6,30.6
324.9969333,468033.3333,437471.3333,29.01469333,0.0,0.0,0.0
189.3615733,404000.0,325492.6667,0.0,0.0,26.00023,0.0
1004.288227,461866.6667,347830.0,28.0,28.0,28.0,28.0
987.7894133,445900.0,325578.6667,28.17138,28.17213333,28.17197333,28.17268333
549.8179867,441566.6667,381915.6667,26.30223,0.0,26.30223,0.0
743.8069333,420300.0,317592.6667,27.23464,27.23464,27.23464,0.0
282.38196,515466.6667,488108.0,0.0,0.0,25.0,0.0
786.8404133,421766.6667,332522.3333,27.2,0.0,27.2,27.2
887.7182533,452233.3333,352633.0,30.14449333,0.0,30.14449333,30.14449333
741.19472,467633.3333,364266.6667,27.00003667,0.0,27.00003667,27.00003667
848.6947467,421500.0,331597.0,29.08658,29.08658,29.08658,0.0
556.5385467,438733.3333,377894.0,0.0,0.0,26.43029,26.43029
278.9346,400466.6667,373177.0,0.0,0.0,25.0,0.0
276.42272,569133.3333,532060.6667,0.0,0.0,25.0,0.0
264.9545733,517033.3333,462327.3333,0.0,0.0,25.00008333,0.0
321.0525733,517633.3333,473438.6667,0.0,0.0,0.0,28.72640333
1028.794107,446500.0,325810.3333,28.92598333,28.92823,28.92887667,28.93150667
944.6667067,431500.0,311197.6667,27.30122667,27.30122667,27.30122667,27.30122667
856.2196533,456066.6667,365944.0,29.04858333,29.04858333,0.0,29.04858333
784.1673467,447600.0,345977.6667,27.80440667,27.80440667,0.0,27.80440667
841.0826667,444600.0,360214.0,28.52231667,28.52231667,28.52231667,0.0
1020.52692,447433.3333,327575.6667,28.5503,28.5503,28.5503,28.5503
900.9280933,529733.3333,439786.0,29.77404333,29.77404333,0.0,29.77404333
810.5587467,430100.0,352314.0,27.00420333,0.0,27.00411333,27.00398667
296.30888,535766.6667,495863.3333,27.00117667,0.0,0.0,0.0
80.3768,523700.0,425723.3333,0.0,0.0,25.0,0.0
786.5803867,434833.3333,340075.0,27.5,0.0,27.5,27.5
840.6082533,513266.6667,412499.0,29.0,0.0,29.0,29.0
560.6707867,489166.6667,429137.3333,0.0,0.0,26.46945667,26.46945667
812.8415867,417600.0,333014.3333,27.5,0.0,27.5,27.5
