,pump_speed_1.k,pump_speed_2.k,pump_speed_3.k,pump_speed_4.k,val_pos_1.k,val_pos_2.k,val_pos_3.k,val_pos_4.k,ret_p.k,chw_sup_PSP.k
0,0.5546141334,0.0,0.5546141334,0.5546141334,1.0,0.001,1.0,1.0,357956.6667,440066.6667
1,0.5607902666,0.5571163334,0.5578398666,0.5578322666,1.0,1.0,1.0,1.0,345861.6667,460800.0
2,0.5730223334,0.5730152666,0.5730082666,0.5729841334,1.0,1.0,1.0,1.0,329023.6667,452566.6667
3,0.5563529333999999,0.5563529333999999,0.0,0.5563529333999999,1.0,1.0,0.001,1.0,342129.6667,433700.0
4,0.58,0.0,0.58,0.58,1.0,0.001,1.0,1.0,338542.3333,447200.0
5,0.6069156,0.0,0.0,0.0,1.0,0.001,0.001,0.001,426504.6667,466500.0
6,0.5722999334,0.5723002,0.5722976,0.0,1.0,1.0,1.0,0.001,439929.6667,522833.3333
7,0.584,0.0,0.0,0.584,1.0,0.001,0.001,1.0,399653.0,454133.3333
8,0.6062806666,0.6062836666,0.0,0.6062776666,1.0,1.0,0.001,1.0,359434.6667,459366.6667
9,0.5587923334,0.5502664666,0.0,0.5502664666,1.0,1.0,0.001,1.0,370312.6667,455533.3333
10,0.6998832666,0.0,0.0,0.0,1.0,0.001,0.001,0.001,375927.6667,432366.6667
11,0.5826395334,0.0,0.0,0.5826395334,1.0,0.001,0.001,1.0,352314.6667,412100.0
12,0.0,0.0,0.520022,0.0,0.001,0.001,1.0,0.001,327777.3333,376000.0
13,0.5745755334,0.0,0.5745755334,0.5745755334,1.0,0.001,1.0,1.0,343171.3333,443100.0
14,0.5531444666,0.5531444666,0.5531444666,0.5531444666,1.0,1.0,1.0,1.0,321556.6667,441566.6667
15,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,373177.0,400466.6667
16,0.5760000000000001,0.5760000000000001,0.5760000000000001,0.5760000000000001,1.0,1.0,1.0,1.0,347453.3333,465633.3333
17,0.0,0.0,0.5491336,0.0,0.001,0.001,1.0,0.001,331770.6667,396633.3333
18,0.0,0.612,0.612,0.612,0.001,1.0,1.0,1.0,327635.0,428800.0
19,0.5576674,0.557939,0.5574936,0.5652225334,1.0,1.0,1.0,1.0,343288.0,460600.0
