时间,secd_pump_7_hz,secd_pump_7_val,secd_pump_6_hz,secd_pump_6_val,secd_pump_5_hz,secd_pump_5_val,secd_pump_4_hz,secd_pump_4_val,secd_pump_3_hz,secd_pump_3_val,secd_pump_2_hz,secd_pump_2_val,secd_pump_1_hz,secd_pump_1_val,hrchr_9_perct,hrchr_10_perct,hrchr_11_perct,hrchr_3_perct,hrchr_4_perct,hrchr_7_perct,hrchr_8_perct,hrchr_1_perct,hrchr_2_perct,hrchr_5_perct,hrchr_6_perct,secd_sup_p,secd_ret_p,secd_flow
2022/1/1 1:00,38.07,1,0,0.001,0,0.001,0,0.001,37.57,1,37.64,1,37.76,1,0,0,0,0,0,0,93,96,95,0,0,410000,309000,1590.85
2022/1/1 2:00,38.07,1,0,0.001,0,0.001,0,0.001,37.56,1,37.64,1,37.77,1,0,0,0,0,0,0,95,97,97,0,0,420000,314000,1561.816667
2022/1/1 3:00,38.06,1,0,0.001,0,0.001,0,0.001,37.59,1,37.63,1,37.77,1,0,0,0,0,0,0,95,96,96,0,0,419000,316000,1571.080556
2022/1/1 4:00,38.06,1,0,0.001,0,0.001,0,0.001,37.57,1,37.63,1,37.78,1,0,0,0,0,0,0,94,97,97,0,0,418000,320000,1593.138889
2022/1/1 5:00,38.07,1,0,0.001,0,0.001,0,0.001,37.57,1,37.64,1,37.77,1,0,0,0,0,0,0,96,95,95,0,0,429000,327000,1575.7
2022/1/1 6:00,38.04,1,0,0.001,0,0.001,0,0.001,37.58,1,37.64,1,37.76,1,0,0,0,0,0,0,95,95,95,0,0,417000,316000,1578.988889
2022/1/1 7:00,38.05,1,0,0.001,0,0.001,0,0.001,37.57,1,37.63,1,37.77,1,0,0,0,0,0,0,94,97,96,0,0,408000,304000,1558.708333
2022/1/1 8:00,38.06,1,0,0.001,0,0.001,0,0.001,37.58,1,37.64,1,37.77,1,0,0,0,0,0,0,92,94,96,0,0,400000,298000,1566.027778
2022/1/1 9:00,38.05,1,0,0.001,0,0.001,0,0.001,37.57,1,37.65,1,37.76,1,0,0,0,0,0,0,94,96,94,0,0,394000,290000,1555.191667
2022/1/1 10:00,38.04,1,0,0.001,0,0.001,0,0.001,37.57,1,37.65,1,37.76,1,0,0,0,0,0,0,93,94,95,0,0,394000,287000,1542.094444
2022/1/1 11:00,38.07,1,0,0.001,0,0.001,0,0.001,37.57,1,37.63,1,37.78,1,0,0,0,0,0,0,96,94,94,0,0,415000,309000,1543.630556
2022/1/1 12:00,38.08,1,0,0.001,0,0.001,0,0.001,37.57,1,37.64,1,37.78,1,0,0,0,0,0,0,93,97,93,0,0,411000,312000,1565.772222
2022/1/1 13:00,38.07,1,0,0.001,0,0.001,0,0.001,37.56,1,37.64,1,37.78,1,0,0,0,0,0,0,93,95,93,0,0,407000,313000,1571.044444
2022/1/1 14:00,38.08,1,0,0.001,0,0.001,0,0.001,37.57,1,37.64,1,37.78,1,0,0,0,0,0,0,94,96,92,0,0,404000,308000,1560.111111
2022/1/1 15:00,38.07,1,0,0.001,0,0.001,0,0.001,37.59,1,37.64,1,37.77,1,0,0,0,0,0,0,94,96,92,0,0,403000,310000,1581.013889
2022/1/1 16:00,38.08,1,0,0.001,0,0.001,0,0.001,37.59,1,37.64,1,37.78,1,0,0,0,0,0,0,96,96,96,0,0,409000,315000,1575.441667
2022/1/1 17:00,38.09,1,0,0.001,0,0.001,0,0.001,37.58,1,37.63,1,37.78,1,0,0,0,0,0,0,94,95,94,0,0,423000,333000,1577.366667
2022/1/1 18:00,38.07,1,0,0.001,0,0.001,0,0.001,37.57,1,37.63,1,37.77,1,0,0,0,0,0,0,97,96,96,0,0,431000,337000,1566.547222
2022/1/1 19:00,38.07,1,0,0.001,0,0.001,0,0.001,37.57,1,37.64,1,37.75,1,0,0,0,0,0,0,94,96,95,0,0,417000,326000,1576.605556
2022/1/1 20:00,38.07,1,0,0.001,0,0.001,0,0.001,37.57,1,37.63,1,37.78,1,0,0,0,0,0,0,93,95,91,0,0,401000,304000,1564.213889
2022/1/1 21:00,38.06,1,0,0.001,0,0.001,0,0.001,37.57,1,37.64,1,37.76,1,0,0,0,0,0,0,93,96,91,0,0,387000,289000,1557.933333
2022/1/1 22:00,38.06,1,0,0.001,0,0.001,0,0.001,37.56,1,37.65,1,37.76,1,0,0,0,0,0,0,89,95,90,0,0,377000,276000,1553.463889
2022/1/1 23:00,38.06,1,0,0.001,0,0.001,0,0.001,37.56,1,37.63,1,37.78,1,0,0,0,0,0,0,89,96,95,0,0,369000,269000,1561.433333
2022/4/1 0:00,0,0.001,0,0.001,0,0.001,35.72,1,35.6,1,35.65,1,35.78,1,0,0,0,94.4,0,0,0,95,0,0,0,399000,301000,1146.161111
